Bin	Rank	Count	Hamming_distance	Match
(0.15, 0.35)	Order	33	0	True
(0.15, 0.35)	Family	28	3	True
(0.15, 0.35)	Order	28	3	True
(0.15, 0.35)	Family	23	5	True
(0.15, 0.35)	Order	21	0	False
(0.15, 0.35)	Order	19	4	True
(0.15, 0.35)	Genus	15	0	True
(0.15, 0.35)	Class	15	0	False
(0.15, 0.35)	Class	10	1	True
(0.15, 0.35)	Order	9	5	True
(0.15, 0.35)	Phylum	7	0	False
(0.15, 0.35)	Genus	4	1	True
(0.15, 0.35)	Genus	3	3	True
(0.15, 0.35)	Class	3	3	True
(0.15, 0.35)	Class	3	2	True
(0.15, 0.35)	Class	2	4	True
(0.15, 0.35)	Kingdom	2	4	False
(0.15, 0.35)	Kingdom	1	5	False
(0.15, 0.35)	Genus	1	2	True
(0.15, 0.35)	Class	1	0	True
(0.15, 0.35)	Species	91658	5	False
(0.15, 0.35)	Species	60941	4	False
(0.15, 0.35)	Species	52634	3	False
(0.15, 0.35)	Species	38606	2	False
(0.15, 0.35)	Species	18214	1	False
(0.15, 0.35)	Species	3187	0	False
(0.15, 0.35)	Genus	2631	5	False
(0.15, 0.35)	Phylum	2403	1	True
(0.15, 0.35)	Genus	2394	4	False
(0.15, 0.35)	Genus	2364	3	False
(0.15, 0.35)	Genus	2140	2	False
(0.15, 0.35)	Phylum	2014	2	True
(0.15, 0.35)	Family	1514	2	False
(0.15, 0.35)	Family	1377	3	False
(0.15, 0.35)	Genus	1351	1	False
(0.15, 0.35)	Kingdom	1242	2	True
(0.15, 0.35)	Class	1235	1	True
(0.15, 0.35)	Kingdom	1208	1	True
(0.15, 0.35)	Family	1181	4	False
(0.15, 0.35)	Phylum	1169	3	True
(0.15, 0.35)	Class	1159	2	True
(0.15, 0.35)	Phylum	1140	0	True
(0.15, 0.35)	Family	1117	1	False
(0.15, 0.35)	Family	1007	5	False
(0.15, 0.35)	Class	936	2	False
(0.15, 0.35)	Class	850	3	False
(0.15, 0.35)	Class	814	1	False
(0.15, 0.35)	Order	801	2	False
(0.15, 0.35)	Kingdom	742	3	True
(0.15, 0.35)	Class	726	3	True
(0.15, 0.35)	Order	681	3	False
(0.15, 0.35)	Class	661	4	False
(0.15, 0.35)	Order	620	1	False
(0.15, 0.35)	Class	617	0	True
(0.15, 0.35)	Phylum	586	4	True
(0.15, 0.35)	Kingdom	512	5	True
(0.15, 0.35)	Kingdom	510	4	True
(0.15, 0.35)	Order	508	4	False
(0.15, 0.35)	Class	500	5	False
(0.15, 0.35)	Order	490	5	False
(0.15, 0.35)	Kingdom	486	0	True
(0.15, 0.35)	Class	435	4	True
(0.15, 0.35)	Genus	330	0	False
(0.15, 0.35)	Phylum	292	5	True
(0.15, 0.35)	Class	289	5	True
(0.15, 0.35)	Family	287	0	False
(0.15, 0.35)	Phylum	219	5	False
(0.15, 0.35)	Class	218	0	False
(0.15, 0.35)	Order	174	0	False
(0.15, 0.35)	Phylum	117	4	False
(0.15, 0.35)	Phylum	104	3	False
(0.15, 0.35)	Phylum	76	2	False
(0.15, 0.35)	Order	43	1	True
(0.15, 0.35)	Family	38	2	True
(0.15, 0.35)	Family	37	1	True
(0.15, 0.35)	Order	21	2	True
(0.15, 0.35)	Order	20	3	True
(0.15, 0.35)	Order	17	0	True
(0.15, 0.35)	Phylum	15	1	False
(0.15, 0.35)	Family	13	5	True
(0.15, 0.35)	Family	12	4	True
(0.15, 0.35)	Family	8	3	True
(0.15, 0.35)	Family	8	0	True
(0.15, 0.35)	Order	6	5	True
(0.15, 0.35)	Order	6	4	True
(0.15, 0.35)	Phylum	2	0	False
(0.15, 0.35)	Kingdom	1	4	False
(0.0, 0.05)	Species	1240406	0	True
(0.0, 0.05)	Species	48581	5	False
(0.0, 0.05)	Species	47913	1	True
(0.0, 0.05)	Species	36312	4	False
(0.0, 0.05)	Species	27593	3	False
(0.0, 0.05)	Species	17969	2	False
(0.0, 0.05)	Species	9083	1	False
(0.0, 0.05)	Family	7210	0	True
(0.0, 0.05)	Class	6293	0	True
(0.0, 0.05)	Order	5765	0	True
(0.0, 0.05)	Genus	2491	5	False
(0.0, 0.05)	Genus	2147	4	False
(0.0, 0.05)	Genus	1951	3	False
(0.0, 0.05)	Species	1719	0	False
(0.0, 0.05)	Genus	1537	2	False
(0.0, 0.05)	Genus	1313	1	False
(0.0, 0.05)	Species	1056	2	True
(0.0, 0.05)	Class	953	1	True
(0.0, 0.05)	Order	700	1	True
(0.0, 0.05)	Kingdom	654	5	True
(0.0, 0.05)	Phylum	511	0	True
(0.0, 0.05)	Family	444	4	False
(0.0, 0.05)	Family	440	5	False
(0.0, 0.05)	Kingdom	398	3	True
(0.0, 0.05)	Kingdom	396	4	True
(0.0, 0.05)	Family	387	1	True
(0.0, 0.05)	Family	382	3	False
(0.0, 0.05)	Family	354	2	False
(0.0, 0.05)	Class	304	2	True
(0.0, 0.05)	Kingdom	303	2	True
(0.0, 0.05)	Order	292	2	True
(0.0, 0.05)	Genus	260	0	False
(0.0, 0.05)	Family	258	1	False
(0.0, 0.05)	Phylum	227	1	True
(0.0, 0.05)	Species	224	3	True
(0.0, 0.05)	Order	203	4	False
(0.0, 0.05)	Order	201	5	False
(0.0, 0.05)	Kingdom	194	1	True
(0.0, 0.05)	Phylum	186	5	False
(0.0, 0.05)	Kingdom	183	0	True
(0.0, 0.05)	Order	164	3	False
(0.0, 0.05)	Order	159	3	True
(0.0, 0.05)	Order	156	2	False
(0.0, 0.05)	Phylum	146	2	True
(0.0, 0.05)	Class	141	5	False
(0.0, 0.05)	Class	139	3	True
(0.0, 0.05)	Species	109	4	True
(0.0, 0.05)	Order	103	4	True
(0.0, 0.05)	Phylum	103	4	False
(0.0, 0.05)	Genus	97	0	True
(0.0, 0.05)	Phylum	91	5	True
(0.0, 0.05)	Class	91	4	False
(0.0, 0.05)	Phylum	90	3	True
(0.0, 0.05)	Phylum	85	4	True
(0.0, 0.05)	Family	82	2	True
(0.0, 0.05)	Order	78	1	False
(0.0, 0.05)	Order	68	5	True
(0.0, 0.05)	Phylum	61	3	False
(0.0, 0.05)	Phylum	60	2	False
(0.0, 0.05)	Class	58	4	True
(0.0, 0.05)	Class	55	2	False
(0.0, 0.05)	Species	54	5	True
(0.0, 0.05)	Class	48	3	False
(0.0, 0.05)	Class	32	5	True
(0.0, 0.05)	Family	32	4	True
(0.0, 0.05)	Family	32	0	False
(0.0, 0.05)	Phylum	31	1	False
(0.0, 0.05)	Family	28	3	True
(0.0, 0.05)	Genus	13	1	True
(0.0, 0.05)	Class	6	1	False
(0.0, 0.05)	Genus	4	2	True
(0.0, 0.05)	Family	3	5	True
(0.0, 0.05)	Order	3	0	False
(0.0, 0.05)	Class	1	0	False
(0.0, 0.05)	Species	1258494	0	True
(0.0, 0.05)	Kingdom	103247	0	True
(0.0, 0.05)	Species	49524	1	True
(0.0, 0.05)	Species	32725	5	False
(0.0, 0.05)	Species	31332	2	False
(0.0, 0.05)	Species	31331	1	False
(0.0, 0.05)	Species	29087	3	False
(0.0, 0.05)	Species	28210	4	False
(0.0, 0.05)	Kingdom	5481	1	True
(0.0, 0.05)	Phylum	4750	0	True
(0.0, 0.05)	Family	4607	0	False
(0.0, 0.05)	Family	3609	1	False
(0.0, 0.05)	Genus	3255	1	False
(0.0, 0.05)	Genus	2644	2	False
(0.0, 0.05)	Class	2242	0	False
(0.0, 0.05)	Species	2158	2	True
(0.0, 0.05)	Genus	1928	3	False
(0.0, 0.05)	Class	1831	1	False
(0.0, 0.05)	Family	1718	2	False
(0.0, 0.05)	Genus	1708	5	False
(0.0, 0.05)	Genus	1676	4	False
(0.0, 0.05)	Phylum	1499	0	False
(0.0, 0.05)	Phylum	1329	1	True
(0.0, 0.05)	Class	1165	2	False
(0.0, 0.05)	Species	1121	3	True
(0.0, 0.05)	Kingdom	997	2	True
(0.0, 0.05)	Family	981	3	False
(0.0, 0.05)	Class	890	3	False
(0.0, 0.05)	Phylum	772	1	False
(0.0, 0.05)	Order	768	0	True
(0.0, 0.05)	Genus	665	0	False
(0.0, 0.05)	Kingdom	650	5	True
(0.0, 0.05)	Class	643	4	False
(0.0, 0.05)	Species	618	4	True
(0.0, 0.05)	Family	591	4	False
(0.0, 0.05)	Kingdom	584	3	True
(0.0, 0.05)	Kingdom	537	4	True
(0.0, 0.05)	Class	518	5	False
(0.0, 0.05)	Family	514	5	False
(0.0, 0.05)	Species	438	0	False
(0.0, 0.05)	Phylum	414	2	True
(0.0, 0.05)	Species	393	5	True
(0.0, 0.05)	Phylum	384	2	False
(0.0, 0.05)	Order	239	4	False
(0.0, 0.05)	Order	231	1	False
(0.0, 0.05)	Order	218	5	False
(0.0, 0.05)	Order	213	3	False
(0.0, 0.05)	Phylum	213	3	False
(0.0, 0.05)	Order	206	2	False
(0.0, 0.05)	Order	204	0	False
(0.0, 0.05)	Phylum	139	3	True
(0.0, 0.05)	Phylum	121	4	False
(0.0, 0.05)	Phylum	108	5	False
(0.0, 0.05)	Phylum	94	4	True
(0.0, 0.05)	Phylum	53	5	True
(0.0, 0.05)	Genus	26	0	True
(0.0, 0.05)	Order	8	1	True
(0.0, 0.05)	Class	8	0	True
(0.0, 0.05)	Family	6	0	True
(0.0, 0.05)	Genus	3	1	True
(0.0, 0.05)	Class	1	1	True
(0.05, 0.15)	Species	69064	0	False
(0.05, 0.15)	Species	65558	1	False
(0.05, 0.15)	Species	46221	2	False
(0.05, 0.15)	Species	45536	5	False
(0.05, 0.15)	Species	35505	3	False
(0.05, 0.15)	Species	34117	4	False
(0.05, 0.15)	Genus	11949	2	True
(0.05, 0.15)	Genus	11001	1	True
(0.05, 0.15)	Genus	10818	3	True
(0.05, 0.15)	Genus	8518	0	True
(0.05, 0.15)	Genus	6597	4	True
(0.05, 0.15)	Genus	3393	5	True
(0.05, 0.15)	Genus	2096	5	False
(0.05, 0.15)	Genus	1381	4	False
(0.05, 0.15)	Kingdom	1197	5	True
(0.05, 0.15)	Genus	1065	3	False
(0.05, 0.15)	Kingdom	821	4	True
(0.05, 0.15)	Genus	740	2	False
(0.05, 0.15)	Genus	688	0	False
(0.05, 0.15)	Kingdom	631	3	True
(0.05, 0.15)	Genus	538	1	False
(0.05, 0.15)	Phylum	479	5	False
(0.05, 0.15)	Kingdom	448	2	True
(0.05, 0.15)	Order	361	5	False
(0.05, 0.15)	Family	319	4	False
(0.05, 0.15)	Family	312	5	False
(0.05, 0.15)	Order	273	4	False
(0.05, 0.15)	Class	266	5	False
